indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% OBC Enrolment: Primary Level,6.1,6.5,8.3,9.5,9.0,9.8,9.1,8.5,9.1,8.5
% OBC Enrolment:U.Primary Level,6.0,6.7,8.7,9.3,8.6,9.9,8.9,8.3,8.9,8.2
% Muslim Enrolment:5 P4.r0imary Level,-,59.3,66.4,67.8,67.5,68.5,67.4,67.0,67.3,67.5
% Muslim Enrolm34e.n9t: U. Primary Level,-,58.2,64.0,65.1,65.4,66.2,65.8,65.0,64.9,64.5
Ratio of Grade V to I,83,100,89.0,88.0,82.0,76,74,76.0,76.0,75.0
Avg. Repetition Rate: Primary Level,1.7,1.5,1.0,1.2,1.7,0.7,0.7,0.7,0.6,0.2
Avg.Repetition Rate: U.Primary Level,-,3.4,2.5,2.4,1.9,1.5,1.5,1.2,0.8,0.4
Avg. Drop-out Rate: P53ri.m9 ary Level,8.5,1.3,0.2,3.5,1.2,11.3,1178.3.4,6.3,5.5,6.8
Retention Rate: Primary Level,-,-,79.8,84.6,86.4,-,77.6,74.2,73.7,75.8
Transition Rate: Primary to U.Primary,-,93.7,97.1,94.3,90.8,86.6,90.5,93.3,94.4,93.6
Student-Classroom Ratio,19,17,17,17.0,16,15,14,14,14,13
% Schools with Drinking Water,62.0,75.9,78.7,86.3,86.9,8220.17,1488.4,89.8,90.7,92.3
% Schools with Common Toilet,30.4,37.8,35.3,33.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,14.0,17.2,50.2,25.4x,82.5x,83.8x,92.0
% Schools with Girls' Toilet,17.3,22.0,20.4,24.2,25.8,3220.18,15 64.2x,65.4x,66.9x,94.9
% Schools with Boundarywall,33.8,33.6,29.7,30.2,31.5,31.1,31.7,32.1,33.4,34.8
% School with Playground Facility,-,-,-,37.7,37.6,3260.13,1636.0,36.5,36.4,37.1
% Schools with Ramp,2.0,11.0,10.7,11.9,12.1,12.5,64.5**,63.0**,32.5**,62.9**
% Schools havining Electricity,-,-,18.1,18.3,19.6,19.3,20.4,21.3,25.3,29.9
% Schools with Computer,8.6,13.0,11.7,12.7,14.7,14.5,15.0,15.8,16.5,17.2
% Schools Providing Mid-day Meal*,-,-,-,97.7,94.3,96.9,97.8,99.1,99.4,99.5
Number of Distri3c.t3s Covered,14,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Total Schools,,,,,,,,,,
10.6,19451,20789.0,25415.0,26097.0,27095.0,27493.0,28131.0,28307.0,28543.0,28578.0
Total Government Schools,-,16502.0,20866.0,21310.0,22180.0,22538.0,23103.0,23234.0,23378.0,23329.0
Total Private Schools,-,4287.0,4549.0,4786.0,4914.0,4955.0,5028.0,5073.0,5165.0,5247.0
Ratio of Primary to U.PrimarySch1./0S.7ec.,2.4,2.3,2.5,2.3,2.1,2.1,2.0,2.0,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,17,19.0,15.0,23.0,24.0,25.0,25.0,19.0,19.0,19.0
U.Prim. Sch./Sec.per 1000 Child Popln.,11,13.0,23.0,17.0,20.0,20.0,21.0,16.0,16.0,16.0
% Single-Teacher Schools with Enr.≥15,3.8,3.3,10.9,10.0,6.5,5.0,4.1,3.5,2.8,3.3
% Enrolment in Single-Teacher Schools,1.8,1.4,5.1,4.8,3.0,2.4,2.0,1.8,1.5,1.8
% Schools with En4ro.6lment ≤ 50,51.7,50.6,54.2,54.4,56.6,57.9,58.6,60.2,61.4,61.5
% Schools with F3e.4male Teachers,68.7,70.8,73.1,73.4,73.3,72.1,72.1,72.2,71.3,71.3
