indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Avg. Repetition Rate: Primary Level,1.6,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,2.7,2.0,1.3,0.5,0.1,0.2,0.1,0.2,0.2
Avg. Drop-out Rate: Primary Le9v8e.0l,2.0,1.7,0.2,0.2,1.2,1.0,1180..56,4.1,0.5,-
Retention Rate: Primary Level,-,100.0,97.1,-,-,-,-,96.3,97.9,98.6
Transition Rate: Primary to U.Primary,-,97.2,98.6,98.9,96.7,98.6,94.9,95.4,97.8,95.0
Student-Classroom Ratio,27,29,28,27.0,27,26,28,27,26,25
% Schools with Drinking Water,96.2,100.0,100.0,99.9,100.0,10200.10,1499.2,100.0,99.8,100.0
% Schools with Common Toilet,55.7,65.6,66.7,47.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.7,60.3,84.9,62.6x,99.6x,100.0x,99.7
% Schools with Girls' Toilet,55.1,62.3,64.2,69.2,71.7,7250.13,15 95.6x,90.5x,99.1x,99.9
% Schools with Boundarywall,61.9,62.6,62.1,67.0,71.9,74.6,77.1,78.4,79.7,80.2
% School with Playground Facility,-,-,-,80.1,76.7,7270.16,1675.1,76.0,76.4,77.0
% Schools with Ramp,17.8,43.7,45.9,57.1,58.8,62.3,85.0**,85.2**,68.3**,72.8**
% Schools havining Electricity,-,-,81.0,91.3,94.6,96.6,96.5,97.0,98.5,99.1
% Schools with Computer,19.6,24.3,32.1,38.6,47.4,49.6,53.1,54.1,57.3,57.6
Number of Districts 4C.7overed,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Total Schools,,,,,,,,,,
10.3,51574,53307.0,53890.0,54428.0,55175.0,55753.0,56535.0,56785.0,57153.0,57539.0
Total Government Schools,-,35336.0,35436.0,35616.0,36122.0,36575.0,36940.0,37000.0,37902.0,38200.0
Total Private Schools,-,17971.0,18454.0,18812.0,18907.0,18966.0,19402.0,19735.0,19161.0,19163.0
Ratio of Primary to U.PrimarySch1.0/S.3ec.,2.7,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,9,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,3.1,2.6,2.0,2.1,2.3,2.8,3.6,1.9,2.1,1.9
% Enrolment in Single-Teacher Schools,1.0,0.8,0.6,0.6,0.6,0.8,0.9,0.5,0.6,0.5
% Schools with Enrolm6e.2nt ≤ 50,24.0,26.8,27.9,28.9,30.0,31.6,31.9,33.5,33.8,31.3
% Schools with Fe4m.2ale Teachers,92.0,93.5,93.9,94.6,95.1,95.2,96.0,96.1,96.1,96.1
