indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Avg.Repetition Rate: U.Primary Level,-,5.6,4.4,2.1,2.7,0.4,1,0.7,0.5,0.5
Avg. Drop-out Rate: Primary Level,9.7,7.4,7.9,6.2,5.4,4.9,3.1,4.1,1.4,2.9
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,69.5,69.9,61.7,74.9,78.9,80.1,83,86,88.5
Transition Rate: Primary to U.Primary,-,89.4,91.4,92.8,93.8,96.5,94.5,93.1,95.6,94.3
Student-Classroom Ratio,35,30,28,28,27,27,26,24,24,23
% Schools with Drinking Water,79.7,86.7,88.7,94.2,93.6,93.4,94.5,95.6,97.1,99.2
% Schools with Common Toilet,17,37.6,44.2,36.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,24,31.9,54.6,49.9,97.3,95,98.7
% Schools with Girls' Toilet,9.8,20,23.1,35.3,34.7,53.8,87.8,80.2,74.5,99.4
% Schools with Boundarywall,43.8,41.7,42.6,70,71.9,53.5,52.2,57.2,63.8,65.5
% School with Playground Facility,-,-,-,43,38.8,38.7,40.8,49.5,52.9,54.6
% Schools with Ramp,16,29.5,33,40.6,38.6,40.2,71.7,82,75.9,77.9
% Schools havining Electricity,-,-,20.8,23.5,22.6,25.6,41.4,51.6,66.2,71.8
% Schools with Computer,5.7,8.5,6.3,7.2,6,7.2,8.2,8.9,10.4,11
% Schools Providing Mid-day Meal*,-,-,-,88.6,95.6,97.1,97.7,98.4,98.8,98.9
Number of Distric2t.9s Covered,16,16,16,16,16,16,27,27,27,27
Total Schools,51347,49708,49907,50908,51423,52822,53766,53359,53299,50705
Total Government Schools,-,45578,45804,46172,46394,47186,47822,47468,47264,44387
Total Private Schools,-,3954,4060,4642,4945,5504,5788,5650,5839,6100
Ratio of Primary to U.PrimarySch./Sec.,2.5,2.2,2.4,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Primary Sch./Sec.per 1000 Child Popln.,15,14,10,15,15,15,15,14,14,13
U.Prim. Sch./Sec.per 1000 Child Popln.,10,11,14,11,11,11,12,11,11,11
% Single-Teacher Schools with Enr.≥15,8.4,13.6,10.9,10,6.8,5,7.3,6.4,5.7,4
% Enrolment in Single-Teacher Schools,5,8.9,6.4,6.3,4,3,3.6,3.9,2.7,2.2
% Schools with En3.r5olment ≤ 50,35,37.4,36.2,37.4,36.7,37.3,39.4,41,42.2,41.2
% Schools with F3e.m1 ale Teachers,62.9,65.5,66.5,67.9,67.2,67.7,68,69,66.1,65.8
