indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Muslim Enrolment: Primary L9e8v.6el,-,6.8,6.4,7.2,7.5,7.6,1.4,7.5,7.5,7.4
% Muslim Enrolment: U. Prima9r6y. 7Level,-,5.9,6.2,6.7,6.9,6.4,1.6,7.1,7.0,7.1
Ratio of Grade V to I,97,99,99,-,-,-,-,-,-,98
Avg. Repetition Rate: Primary Level,0.0,0.5,0.4,0.4,0.1,0.0,1.6,0.0,0.3,0.0
Avg.Repetition Rate: U.Primary Level,-,17.0,3.7,5.3,0.1,0.0,1.2,0.0,0.0,0.0
Avg. Drop-out Rate: Primary L9e9v.e9l,-,2.4,-,-,0.4,-,102.10.2,0.3,0.7,0.4
Retention Rate: Primary Level,-,-,-,-,98.4,-,97.7,98.5,97.6,96.5
Transition Rate: Primary to U.Primary,-,-,-,-,-,-,99.8,-,100.0,-
Student-Classroom Ratio,26,22,21,21.0,23,25,27,27,27,26
% Schools with Drinking Water,96.3,98.3,99.7,100.0,100.0,10200.10,1499.9,100.0,99.7,100.0
% Schools with Common Toilet,56.8,70.0,99.3,45.1,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,83.0,86.9,98.5,92.4,100.0,100.0,100.0
% Schools with Girls' Toilet,80.0,86.2,88.6,89.2,90.6,9270.18,15 99.9,100.0,99.9,100.0
% Schools with Boundarywall,87.7,85.5,84.3,85.7,87.3,90.4,94.1,94.1,95.2,95.7
% School with Playground Facility,-,-,-,64.6,64.2,6260.12,1666.6,67.8,70.4,72.5
% Schools with Ramp,24.2,39.0,39.3,52.3,51.2,51.3,79.6,95.8,73.7,80.3
% Schools havining Electricity,-,-,100.0,99.9,99.9,99.9,100.0,100.0,100.0,100.0
% Schools with Computer,14.9,63.0,71.0,79.9,90.7,94.6,97.7,97.6,97.8,98.8
Number of Districts 8C.1overed,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15.9,616,703.0,692.0,692.0,709.0,707.0,709.0,717.0,722.0,719.0
Total Government Schools,-,441.0,435.0,434.0,440.0,435.0,433.0,433.0,428.0,421.0
Total Private Schools,-,260.0,257.0,258.0,269.0,272.0,276.0,284.0,294.0,298.0
Ratio of Primary to U.PrimaryS14c.h9./Sec.,1.7,1.7,1.5,1.6,1.5,1.5,1.5,1.5,1.4,1.4
Primary Sch./Sec.per 1000 Child Popln.,5,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
U.Prim. Sch./Sec.per 1000 Child Popln.,4,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,1.0,1.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0
% Enrolment in Single-Teacher Schools,0.3,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
% Schools with Enro8lm.9ent ≤ 50,23.4,19.4,15.6,16.0,17.4,17.1,17.4,20.8,21.3,21.4
