indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Muslim Enrolme4n4t:. 5Primary Level,-,7.5,7.8,9.2,9.8,11.9,12.9,13.3,13.4,12.8
% Muslim En1r7o.l5ment: U. Primary Level,-,6.7,7.6,9.2,10.1,11.1,10.9,10.7,10.5,10.5
Ratio of Grade V to I,71,81,100,93,95,93,95,-,-,-
Avg. Repetition Rate: Primary Level,15.3,4.7,4.4,2.5,2.9,1.6,0.9,0.7,0.9,0.8
Avg.Repetition Rate: U.Primary Level,-,10.5,9.1,9.3,7.6,0.7,0.3,0.5,0.4,0.9
Avg. Drop-out Rate: Primary Level,4.1,11.7,2.7,8.8,11.9,6.2,0.1,2.2,3.6,1.3
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,4.65,2.84,3.08,2.72,1.99,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,25.5,25.09,28.42,-
Retention Rate: Primary Level,-,75.2,73.5,71.5,66.6,70.4,80.7,80,92.5,95.3
Transition Rate: Primary to U.Primary,-,84.3,88.7,85.1,84.7,91,94.3,92.1,90.2,91.3
Student-Classroom Ratio,38,29,28,27,25,26,26,26,23,23
% Schools with Drinking Water,73.8,76.9,77.8,79.4,82.4,75.4,85.7,84.5,89,89.8
% Schools with Common Toilet,63.8,69.1,70.5,57.7,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,13.9,19.5,77.7,33.8,94.2,100,99.7
% Schools with Girls' Toilet,18,22.6,26.6,42.3,43.4,51.2,86.5,86.8,99.4,99.9
% Schools with Boundarywall,14.5,15.8,14.8,12.9,13.2,13.8,18.2,16.9,19.7,19.7
% School with Playground Facility,-,-,-,58.6,62.6,60.3,60.2,57.9,61.4,62
% Schools with Ramp,24,46.7,50.7,56,57.2,56.3,76.2,48.6,60.7,79.4
% Schools havining Electricity,-,-,12.6,13.2,14.3,15.8,19.8,23.4,28.6,29.8
% Schools with Computer,6.9,7.9,8.7,9,11.7,11.6,12.7,11.4,15.1,15.7
% Schools Providing Mid-day Meal*,-,-,-,97.3,98.4,99.4,97.9,99,99.2,99.1
Number of Districts C5o.3vered,4,4,4,4,4,4,8,8,8,8
Total Schools,3548,3901,3905,4303,4386,4503,4745,4800,4818,4844
Total Government Schools,-,3739,3742,4143,4217,4275,4411,4323,4326,4322
Total Private Schools,-,162,163,160,169,228,274,286,300,335
Ratio of Primary to U.PrimarySch./Sec.,2.1,2.2,2.1,2.2,2.1,2,2.1,2.1,2.1,2.1
Primary Sch./Sec.per 1000 Child Popln.,9,11,8,13,15,14,15,14,14,14
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8,12,9,9,10,10,13,13,14
% Single-Teacher Schools with Enr.≥15,1.4,0.8,0.9,1,0.8,1.4,1.2,1.7,0.8,0.2
% Enrolment in Single-Teacher Schools,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.3,0.1
% Schools with Enr4o.l8ment ≤ 50,15.5,21.1,21.5,29.5,31.7,34.9,36.1,37.5,39.4,40.5
% Schools with Fem4a.7le Teachers,52.5,52.8,53.8,54.2,60.5,61,61.7,62.2,63.8,63.8
