indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Ratio of Girls Enr.to Boys: Primary,0.99,0.99,1.00,1.0,0.99,0.98,0.99,0.99,0.98,0.98
Ratio of Girls Enr.to Boys: U.Primary,0.97,0.96,0.99,1.0,0.98,0.99,0.98,0.98,1.0,0.99
% SC Enrolment: Classes I-VIII,3.2,3.7,3.2,3.3,4.3,4.4,4.8,3.8,4.3,4.5
% ST Enrolment:3 C5.l3asses  I-VIII,37.8,42.7,43.9,45.4,44.9,45.4,51.2,44.1,42.8,42.1
% OBC Enrolment: Primary Level,8.8,8.0,10.2,8.6,10.1,12.0,14.1,21.4,22.9,24.3
% OBC Enrolment:U.Primary Level,11.7,11.4,12.5,11.5,14.5,15.9,17.7,23.5,23.1,24.7
% Muslim Enrolm3e4n.5t: Primary Level,-,-,-,6.0,7.7,9.0,9.3,9.1,9.7,10.2
% Muslim Enro2lm8.0ent: U. Primary Level,-,-,-,5.1,6.3,7.6,8.7,8.4,8.7,9.0
Ratio of Grade V to I,40,50,53,56.0,61.0,62.0,59,61.0,76.0,76.0
Avg. Repetition Rate: Primary Level,-,1.8,2.2,3.6,2.8,1.6,0.5,0.4,0.3,0.5
Avg.Repetition Rate: U.Primary Level,-,0.6,0.8,1.3,2.6,1.5,0.8,0.3,0.2,0.3
Avg. Drop-out Rate4: 4P.7rimary Level,-,20.0,19.6,10.5,9.1,12.1,148.89.6,9.9,18.0,9.7
Retention Rate: Primary Level,-,-,-,45.9,56.5,55.1,64.5,64.2,65.5,63.1
Transition Rate: Primary to U.Primary,-,84.0,78.6,85.7,88.4,82.9,85.8,87.7,84.4,84.7
Student-Classroom Ratio,22,21,19,20.0,22,21,22,21,19,19
% Schools with Drinking Water,73.7,75.9,76.6,92.1,89.2,9240.18,1488.3,89.1,88.5,99.7
% Schools with Common Toilet,37.0,51.1,51.4,43.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,16.9,23.0,93.1,70.6,98.7,95.8,98.7
% Schools with Girls' Toilet,15.7,18.0,18.6,23.2,26.4,8270.11,15 94.7,95.0,94.4,98.8
% Schools with Boundarywall,28.7,33.0,28.9,31.8,30.4,31.0,32.5,31.4,31.0,29.7
% School with Playground Facility,-,-,-,56.3,55.9,5260.19,1651.2,54.1,53.9,53.5
% Schools with Ramp,1.5,7.4,5.0,6.0,5.3,6.7,74.0,51.0,94.0,91.9
% Schools havining Electricity,-,-,21.3,21.6,23.1,24.1,24.3,26.9,29.5,38.3
% Schools with Computer,11.0,11.3,12.0,15.7,18.2,20.9,22.2,24.9,24.5,26.1
% Schools Providing Mid-day Meal*,-,-,-,96.7,98.0,96.3,80.7,83.9,87.2,91.1
Number of Districts C4o.5vered,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8.5,3849,4011.0,3954.0,3926.0,3878.0,3957.0,4655.0,4694.0,4858.0,4865.0
Total Government Schools,-,2620.0,2563.0,2512.0,2402.0,2479.0,3108.0,3132.0,3302.0,3308.0
Total Private Schools,-,1391.0,1391.0,1414.0,1358.0,1363.0,1418.0,1421.0,1424.0,1432.0
Ratio of Primary to U.PrimarySch.8/.S8ec.,2.9,2.6,2.6,2.4,2.5,2.5,2.3,2.4,2.4,2.4
Primary Sch./Sec.per 1000 Child Popln.,14,16.0,9.0,17.0,19.0,18.0,21.0,17.0,17.0,18.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,9.0,17.0,10.0,10.0,10.0,13.0,14.0,15.0,16.0
% Single-Teacher Schools with Enr.≥15,12.2,10.1,10.9,11.7,10.1,9.9,3.4,4.0,3.2,5.2
% Enrolment in Single-Teacher Schools,5.2,4.3,4.3,4.5,3.8,3.9,1.2,1.3,1.2,1.7
% Schools with Enrolme5n.6t ≤ 50,36.9,34.8,37.0,34.3,32.0,34.4,42.4,45.1,51.7,55.1
% Schools with Fema4.le3 Teachers,78.8,79.4,80.0,81.2,85.4,86.6,87.6,100.0,87.7,87.9
