indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Muslim Enrolment: Primary8 9L.6evel,-,5.4,5.1,6.7,7.3,8.4,9.2,9.2,8.5,8.9
% Muslim Enrolment: U. P7ri9m.9ary Level,-,3.6,3.5,4.4,5.0,5.9,6.8,6.7,6.3,6.7
Ratio of Grade V to I,54,59.0,61.0,63.0,64.0,74.0,84,86.0,86.0,74.0
Avg. Repetition Rate: Primary Level,10.8,9.4,7.0,6.7,9.5,4.3,0.6,0.9,1.1,1.1
Avg.Repetition Rate: U.Primary Level,-,8.1,7.7,4.9,7.6,2.4,0.2,0.5,0.6,0.7
Avg. Drop-out Rate: Primary L9e1.v7el,14.9,15.4,11.4,10.5,10.8,7.8,1165.5.5,8.0,8.4,5.0
Retention Rate: Primary Level,-,61.8,60.2,53.7,50.0,60.0,66.8,68.5,72.0,75.0
Transition Rate: Primary to U.Primary,-,77.7,85.3,86.3,82.7,90.4,90.1,88.7,88.2,92.0
Student-Classroom Ratio,29,26,25,24.0,23,23,23,21,20,21
% Schools with Drinking Water,77.1,87.7,92.0,96.4,94.7,9250.11,1494.9,96.3,97.1,96.8
% Schools with Common Toilet,53.0,36.1,48.7,56.0,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,1.9,68.4,77.2,77.6,98.1,98.2,99.2
% Schools with Girls' Toilet,34.6,79.3,83.0,89.4,92.1,9250.15,15 97.8,96.1,97.1,99.7
% Schools with Boundarywall,59.4,63.6,64.3,72.0,76.3,79.7,79.9,82.5,85.0,84.8
% School with Playground Facility,-,-,-,49.7,46.6,4260.13,1648.4,48.9,51.8,52.3
% Schools with Ramp,12.6,27.2,39.0,51.1,55.2,56.9,57.9,65.2,60.6,63.3
% Schools havining Electricity,-,-,29.0,33.7,39.4,44.5,48.2,50.1,55.1,56.5
% Schools with Computer,9.6,14.9,2.7,15.0,21.7,18.0,22.5,23.1,28.4,29.9
% Schools Providing Mid-day Meal*,-,-,-,96.6,82.5,75.4,97.9,97.7,97.5,97.6
Number of Districts 4C.0overed,32,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
8.1,94319,103303.0,105085.0,105773.0,105190.0,109189.0,112984.0,119574.0,106254.0,107931.0
Total Government Schools,-,77319.0,81058.0,79603.0,77531.0,77832.0,78870.0,83564.0,69947.0,70664.0
Total Private Schools,-,22727.0,24027.0,24767.0,26216.0,29766.0,31948.0,33658.0,33889.0,34872.0
Ratio of Primary to U.PrimarySc8h.0./Sec.,2.6,2.1,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6
Primary Sch./Sec.per 1000 Child Popln.,9,13.0,12.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,10.0,13.0,12.0,12.0,13.0,13.0,14.0,14.0,15.0
% Single-Teacher Schools with Enr.≥15,31.5,21.3,15.7,16.3,14.7,14.2,12.9,10.1,11.7,10.2
% Enrolment in Single-Teacher Schools,14.5,10.3,7.3,7.6,6.8,6.6,5.8,4.5,4.4,3.7
% Schools with Enrolm4.8ent ≤ 50,21.2,24.9,25.8,27.3,27.8,28.6,29.5,34.2,32.6,33.1
% Schools with Fe3m.6ale Teachers,67.0,65.9,63.8,64.5,64.0,64.9,67.6,67.0,67.0,68.4
