indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Retention Rate: Primary Level,-,94.6,94.5,97.9,93.7,95.7,95,99.4,98.2,98.9
Transition Rate: Primary to U.Primary,-,92.6,93.7,95.6,96.1,98,98.6,97.9,98,98.1
Student-Classroom Ratio,18,16,15,15,14,14,15,14,13,13
% Schools with Drinking Water,88.7,93.1,94.1,97.6,97.6,98.9,99.1,99.1,99.1,99.9
% Schools with Common Toilet,40,48,50.9,38.1,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,42.9,57.1,80.6,72.7,97.6,97.8,99.7
% Schools with Girls' Toilet,29.7,38.7,42.9,56.4,66.5,96,97.6,94.7,95.6,99.8
% Schools with Boundarywall,24.7,28.7,31.8,50,45.4,51.9,57.1,63.2,71.8,70.1
% School with Playground Facility,-,-,-,67.3,66.3,66.6,83.9,85.7,84.4,85.8
% Schools with Ramp,5.7,27.7,33.4,46.4,45.7,51.7,91.1,92.1,84.8,88.9
% Schools havining Electricity,-,-,58.3,59.8,60.8,72,85,87.1,94.2,96.2
% Schools with Computer,7.6,11.1,12.9,14.7,16.6,18.7,21.7,22.5,23.8,26
% Schools Providing Mid-day Meal*,-,-,-,99,83.5,99.4,99.1,99.4,99.6,99.6
Number of Distr3ic.2ts Covered,12,12,12,12,12,12,12,12,12,12
Total Schools10.2,16013,17197,17360,17408,17439,17388,17547,17720,17956,18024
Total Government Schools,-,14968,15071,15091,15126,15001,15111,15219,15355,15386
Total Private Schools,-,2224,2289,2317,2313,2384,2434,2497,2599,2637
Ratio of Primary to U.PrimarySch./Sec.,2.6,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2,2
Primary Sch./Sec.per 1000 Child Popln.,20,22,16,23,23,23,23,22,23,23
U.Prim. Sch./Sec.per 1000 Child Popln.,13,15,23,17,17,17,18,18,18,19
% Single-Teacher Schools with Enr.≥15,7.9,5.5,7.4,4.3,3.6,3.1,4.2,4.4,3.3,4.6
% Enrolment in Single-Teacher Schools,4.7,3,4.3,2.5,2.1,2,2.5,2.8,2.2,3
% Schools with E3n.8rolment ≤ 50,51.9,55.8,57.5,59.7,61.1,63.4,63.8,68,69.9,71.2
% Schools with 3F.1emale Teachers,71.3,72.4,73.1,71.9,71.3,71.4,74.3,100,72.1,73.4
