indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Muslim Enrolm34e.n9t: U. Primary Level,-,58.2,64,65.1,65.4,66.2,65.8,65,64.9,64.5
Ratio of Grade V to I,83,100,89,88,82,76,74,76,76,75
Avg. Repetition Rate: Primary Level,1.7,1.5,1,1.2,1.7,0.7,0.7,0.7,0.6,0.2
Avg.Repetition Rate: U.Primary Level,-,3.4,2.5,2.4,1.9,1.5,1.5,1.2,0.8,0.4
Avg. Drop-out Rate: Primary Level,8.5,1.3,0.2,3.5,1.2,11.3,8.4,6.3,5.5,6.8
Avg. Drop-out Rate: U.Primary Level,-,-,-,-,-,-,-,-,-,-
Avg. Drop-out Rate: Secondary Level,-,-,-,-,-,-,-,-,-,-
Retention Rate: Primary Level,-,-,79.8,84.6,86.4,-,77.6,74.2,73.7,75.8
Transition Rate: Primary to U.Primary,-,93.7,97.1,94.3,90.8,86.6,90.5,93.3,94.4,93.6
Student-Classroom Ratio,19,17,17,17,16,15,14,14,14,13
% Schools with Drinking Water,62,75.9,78.7,86.3,86.9,82.7,88.4,89.8,90.7,92.3
% Schools with Common Toilet,30.4,37.8,35.3,33.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,14,17.2,50.2,25.4,82.5,83.8,92
% Schools with Girls' Toilet,17.3,22,20.4,24.2,25.8,32.8,64.2,65.4,66.9,94.9
% Schools with Boundarywall,33.8,33.6,29.7,30.2,31.5,31.1,31.7,32.1,33.4,34.8
% School with Playground Facility,-,-,-,37.7,37.6,36.3,36,36.5,36.4,37.1
% Schools with Ramp,2,11,10.7,11.9,12.1,12.5,64.5,63,32.5,62.9
% Schools havining Electricity,-,-,18.1,18.3,19.6,19.3,20.4,21.3,25.3,29.9
% Schools with Computer,8.6,13,11.7,12.7,14.7,14.5,15,15.8,16.5,17.2
% Schools Providing Mid-day Meal*,-,-,-,97.7,94.3,96.9,97.8,99.1,99.4,99.5
Number of Distri3c.t3s Covered,14,22,22,22,22,22,22,22,22,22
Total Schools,19451,20789,25415,26097,27095,27493,28131,28307,28543,28578
Total Government Schools,-,16502,20866,21310,22180,22538,23103,23234,23378,23329
Total Private Schools,-,4287,4549,4786,4914,4955,5028,5073,5165,5247
Ratio of Primary to U.PrimarySch./Sec.,2.4,2.3,2.5,2.3,2.1,2.1,2,2,2,2
Primary Sch./Sec.per 1000 Child Popln.,17,19,15,23,24,25,25,19,19,19
U.Prim. Sch./Sec.per 1000 Child Popln.,11,13,23,17,20,20,21,16,16,16
% Single-Teacher Schools with Enr.≥15,3.8,3.3,10.9,10,6.5,5,4.1,3.5,2.8,3.3
% Enrolment in Single-Teacher Schools,1.8,1.4,5.1,4.8,3,2.4,2,1.8,1.5,1.8
% Schools with En4ro.6lment ≤ 50,51.7,50.6,54.2,54.4,56.6,57.9,58.6,60.2,61.4,61.5
% Schools with F3e.4male Teachers,68.7,70.8,73.1,73.4,73.3,72.1,72.1,72.2,71.3,71.3
