indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Schools with Boys' Toilet,-,-,-,21.3,20.9,56.9,61.8,78.8,79.7,83.4
% Schools with Girls' Toilet,9.6,10.5,12.7,38.2,39.7,50.5,76.2,59.3,53.9,84.3
% Schools with Boundarywall,30.3,28.3,26.5,27.6,24.8,25.1,25.7,26.4,27.8,28.9
% School with Playground Facility,-,-,-,54.3,53,52.4,52,50.7,54.4,56.4
% Schools with Ramp,10.9,14.7,22.5,42.7,37.9,46.4,93.4,89.6,90.2,91.2
% Schools havining Electricity,-,-,8.8,11.7,11.5,12.2,13.9,15.9,20.1,22.2
% Schools with Computer,4.1,3.7,3.2,5,5.1,6.5,7.2,7.7,8.1,8.7
% Schools Providing Mid-day Meal*,-,-,-,80.5,85.3,89.9,93.1,95.2,97.5,98.4
Number of Distric3ts.2 Covered,23,23,23,23,23,27,27,27,27,27
Total Schools,40215,66727,68542,53338,64653,61110,61689,64171,65141,65894
Total Government Schools,-,53950,60147,44518,44371,42917,42993,50186,50070,50143
Total Private Schools,-,12777,8395,8820,9488,7930,8399,6753,7037,7839
Ratio of Primary to U4.P.4rimarySch./Sec.,3.2,3.3,3,2.9,2.6,3.1,3.1,3.1,3.1,3
Primary Sch./Sec.per 1000 Child Popln.,10,17,9,13,16,16,16,14,15,15
U.Prim. Sch./Sec.per 1000 Child Popln.,5,8,17,7,10,8,8,8,9,9
% Single-Teacher Schools with Enr.≥15,15.2,22.6,19.9,11.1,14.1,14.6,6.9,7.3,1.8,1.6
% Enrolment in Single-Teacher Schools,13.3,14.6,12.8,6.8,11.1,12.2,4.7,5.1,1.1,1
% Schools with E3n.1rolment ≤ 50,34.9,43.2,42.8,34.7,36.8,31.6,33.2,36.5,38.3,46.1
% Schools with F3e.m1 ale Teachers,65.9,71.4,71.5,67.8,67.9,68.5,68.3,100,64.6,64.7
