indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% School with Playground Facility,-,-,-,20.4,32.1,4200.13,1649.2,52.7,55.2,64.2
% Schools with Ramp,11.0,27.6,37.2,38.5,40.6,46.6,74.1,47.4,52.9,73.0
% Schools havining Electricity,-,-,32.4,34.1,42.5,50.3,50.0,59.2,71.1,73.4
% Schools with Computer,10.2,13.9,15.6,17.6,23.0,28.5,27.6,32.0,29.5,29.6
% Schools Providing Mid-day Meal*,-,-,-,93.0,96.6,93.2,91.8,98.2,99.6,99.5
Number of Districts 4C.0overed,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
6.9,2521,2783.0,2826.0,2917.0,2904.0,2935.0,3019.0,2922.0,3067.0,3072.0
Total Government Schools,-,2298.0,2356.0,2427.0,2335.0,2473.0,2569.0,2273.0,2278.0,2277.0
Total Private Schools,-,481.0,466.0,486.0,554.0,450.0,445.0,425.0,784.0,791.0
Ratio of Primary to U.Primary7S.1ch./Sec.,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,16,20.0,21.0,22.0,23.0,22.0,22.0,16.0,16.0,17.0
U.Prim. Sch./Sec.per 1000 Child Popln.,17,20.0,21.0,22.0,23.0,22.0,24.0,25.0,28.0,30.0
% Single-Teacher Schools with Enr.≥15,3.5,1.7,0.9,2.3,3.8,1.4,1.7,2.1,2.2,2.0
% Enrolment in Single-Teacher Schools,2.3,1.3,0.5,1.6,2.8,1.2,1.2,1.6,1.5,1.4
% Schools with Enrolm4.e9nt ≤ 50,30.6,38.6,39.4,37.1,40.1,32.0,37.6,46.2,54.2,54.0
% Schools with Fem4a.l2e Teachers,80.8,80.8,82.5,81.9,82.2,85.3,86.7,86.0,84.8,85.5
