indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Avg. Repetition Rate: Primary Level,11.1,8.8,7.8,5.8,9.6,6.7,1.0,0.6,0.6,0.2
Avg.Repetition Rate: U.Primary Level,-,4.9,4.2,2.8,5.0,3.3,1.2,0.5,0.7,0.2
Avg. Drop-out Rate: Primary L9e9v.e8l,4.3,4.2,2.7,3.9,4.3,3.0,107.7-,0.7,0.8,0.9
Retention Rate: Primary Level,-,84.5,82.8,84.6,80.8,87.6,93.3,95.5,94.2,98.4
Transition Rate: Primary to U.Primary,-,90.5,91.6,93.9,90.7,93.4,99.0,97.8,97.9,98.1
Student-Classroom Ratio,38,35,34,34.0,34,33,33,30,29,28
% Schools with Drinking Water,80.9,87.2,90.2,96.7,97.9,10200.10,1499.6,100.0,99.9,100.0
% Schools with Common Toilet,57.3,70.7,73.1,37.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,49.4,58.8,76.4,75.3x,99.8x,99.9x,99.9
% Schools with Girls' Toilet,50.4,65.3,67.7,58.5,73.1,9290.17,15 97.5x,97.9x,98.5x,100.0
% Schools with Boundarywall,75.3,80.4,83.6,86.7,88.6,89.0,89.6,92.7,94.0,93.9
% School with Playground Facility,-,-,-,72.0,73.0,7240.10,1673.8,75.7,76.3,76.9
% Schools with Ramp,44.2,71.6,77.8,79.6,80.7,82.0,81.7**,95.6**,90.6**,92.6**
% Schools havining Electricity,-,-,87.4,94.8,97.5,98.9,98.7,99.7,99.7,99.7
% Schools with Computer,15.8,36.5,37.7,42.8,45.4,60.0,71.5,72.7,74.1,73.8
% Schools Providing Mid-day Meal*,-,-,-,92.5,88.8,89.9,95.7,96.1,96.0,95.7
Number of Districts C5o.3vered,25,25.0,26.0,26.0,26.0,26.0,26.0,26.0,33.0,33.0
Total Schools,,,,,,,,,,
8.8,37256,39039.0,39106.0,39939.0,40746.0,40943.0,42745.0,43178.0,43638.0,44051.0
Total Government Schools,-,33114.0,33182.0,33425.0,33552.0,33496.0,33768.0,33713.0,33755.0,33843.0
Total Private Schools,-,5925.0,5924.0,6513.0,7191.0,7444.0,8972.0,9462.0,9880.0,10205.0
Ratio of Primary to U.PrimaryS9c.2h./Sec.,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,7,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0
% Single-Teacher Schools with Enr.≥15,3.4,1.7,1.9,1.3,0.8,0.7,1.5,1.7,1.4,1.3
% Enrolment in Single-Teacher Schools,1.0,0.5,0.5,0.4,0.2,0.2,0.3,0.4,0.3,0.3
% Schools with Enrolmen7t. 1≤ 50,20.0,18.1,18.0,18.6,18.6,17.9,18.8,19.0,19.9,20.5
% Schools with Female 6T.4eachers,81.9,83.4,83.6,84.3,85.7,86.5,87.8,88.2,87.9,88.2
