indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Avg.Repetition Rate: U.Primary Level,-,2.8,4.2,1.9,3.2,2.6,1.0,0.7,0.2,0.3
Avg. Drop-out Ra3te7:. 8Primary Level,11.3,13.5,12.7,9.6,8.6,11.7,183.83,56.2,7.4,15.4
Retention Rate: Primary Level,-,86.2,93.3,51.6,56.1,53.4,56.2,76.1,66.1,65.5
Transition Rate: Primary to U.Primary,-,93.4,93.2,88.4,-,88.7,94.5,93.2,91.8,85.6
Student-Classroom Ratio,44,39,35,30.0,29,31,28,28,28,25
% Schools with Drinking Water,70.6,62.3,65.3,81.3,76.1,7270.13,1480.9,79.7,83.0,85.9
% Schools with Common Toilet,31.3,26.3,30.3,41.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,21.3,20.9,56.9,61.8x,78.8x,79.7x,83.4
% Schools with Girls' Toilet,9.6,10.5,12.7,38.2,39.7,5200.15,15 76.2x,59.3x,53.9x,84.3
% Schools with Boundarywall,30.3,28.3,26.5,27.6,24.8,25.1,25.7,26.4,27.8,28.9
% School with Playground Facility,-,-,-,54.3,53.0,5220.14,1652.0,50.7,54.4,56.4
% Schools with Ramp,10.9,14.7,22.5,42.7,37.9,46.4,93.4**,89.6**,90.2**,91.2**
% Schools havining Electricity,-,-,8.8,11.7,11.5,12.2,13.9,15.9,20.1,22.2
% Schools with Computer,4.1,3.7,3.2,5.0,5.1,6.5,7.2,7.7,8.1,8.7
% Schools Providing Mid-day Meal*,-,-,-,80.5,85.3,89.9,93.1,95.2,97.5,98.4
Number of Distric3ts.2 Covered,23,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0
Total Schools,,,,,,,,,,
4.2,40215,66727.0,68542.0,53338.0,64653.0,61110.0,61689.0,64171.0,65141.0,65894.0
Total Government Schools,-,53950.0,60147.0,44518.0,44371.0,42917.0,42993.0,50186.0,50070.0,50143.0
Total Private Schools,-,12777.0,8395.0,8820.0,9488.0,7930.0,8399.0,6753.0,7037.0,7839.0
Ratio of Primary to U4.P.4rimarySch./Sec.,3.2,3.3,3.0,2.9,2.6,3.1,3.1,3.1,3.1,3.0
Primary Sch./Sec.per 1000 Child Popln.,10,17.0,9.0,13.0,16.0,16.0,16.0,14.0,15.0,15.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,8.0,17.0,7.0,10.0,8.0,8.0,8.0,9.0,9.0
% Single-Teacher Schools with Enr.≥15,15.2,22.6,19.9,11.1,14.1,14.6,6.9,7.3,1.8,1.6
% Enrolment in Single-Teacher Schools,13.3,14.6,12.8,6.8,11.1,12.2,4.7,5.1,1.1,1.0
% Schools with E3n.1rolment ≤ 50,34.9,43.2,42.8,34.7,36.8,31.6,33.2,36.5,38.3,46.1
% Schools with F3e.m1 ale Teachers,65.9,71.4,71.5,67.8,67.9,68.5,68.3,100.0,64.6,64.7
