karnataka_result.csv,bihar_result.csv,telangana_result.csv,chhattisgarh_result.csv,tripura_result.csv,jammu_result.csv,lakshadweep_result.csv,gujarat_result.csv,meghalaya_result.csv,a&n_result.csv,assam_result.csv,manipur_result.csv,himachal_result.csv,nagaland_result.csv,odisha_result.csv,daman_result.csv,mizoram_result.csv,jharkhand_result.csv,west_bengal_result.csv,India_result.csv,uttar_pradesh_result.csv,uttarakhand_result.csv,dadar_result.csv,delhi_result.csv,arunachal_result.csv,punjab_result.csv,sikkim_result.csv,haryana_result.csv,goa_result.csv,chandigarh_result.csv,puducherry_result.csv,madhya_result.csv,andhra_result.csv,rajasthan_result.csv,tamil_nadu_result.csv
% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training,% Teachers Recieved in-Service Training
% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers,Enrolment: Classes I-V,Enrolment: Classes I-V,% Contract Teachers to Total Teachers,% Contract Teachers to Total Teachers
Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes I-V,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes I-V,Enrolment: Classes I-V
Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII,"Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government",Enrolment: Classes VI-VIII,Enrolment: Classes VI-VIII
"Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Classes VI-VIII,Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Class3e2s.1 VI-VIII,Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Cla2s1s.7es VI-VIII,Government","Enrolment:Classes VI-VIII,7G8.o2vernment","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Classes VI-VIII,7G8.o5vernment","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Classes VI-VIII,8G0o.5vernment","Enrolment:Classes VI-VIII,Go9v3e.r8nment","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Classes VI-VIII,Go9v2e.0rnment","Enrolment: Classes I-V, Government","Enrolment:Classes VI-VIII,Go88v.e8rnment","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government","Enrolment:Classes VI-6V1I.I2I,Government","Enrolment:Classes VI-VIII,Go8v9.e6rnment","Enrolment: Classes I-V, Government","Enrolment: Classes I-V, Government"
"Enrolment:Classes VI-VIII,Gov9e5.r1nment","Enrolment:Classe4s0 V.9I-VIII,Government","Enrolment: Classes I-V, Private","Enrolment:Classes VI5-V8.I9II,Government","Enrolment:Classes4 1V.8I-VIII,Government","Enrolment:Classes V5I-4V.0III,Government","Enrolment:Classes VI-VIII,Gov9e5.r1nment","Enrolment:Classes VI-VIII,Gov9e5r.3nment","Enrolment: C15la.1sses I-V, Private","Enrolment:Classes VI-VIII,Gov9e8rn.9ment","Enrolment:Classe4s1 V.0I-VIII,Government","Enrolment:Classe36s. 3VI-VIII,Government","Enrolment:Classes VI-VIII,Go9v1e.4rnment","Enrolment: Class3e7s. 6I-V, Private","Enrolment: Classes I5-V4.,1 Private","Enrolment:Classes VI-VIII,Go9v2e.0rnment","Enrolment:Classes VI-V6II8I,.0Government","Enrolment:Classes VI-VIII,8G0o.3vernment","Enrolment: C1la8s.8ses I-V, Private","Enrolment:Classes VI-VIII,G81o.v9ernment","Enrolment:Classes VI-VIII,G8o4v.6ernment","Enrolment: Classe4s3 I.-6V, Private","Enrolment: Classes I-V, Privat1e00.0","Enrolment:Classes VI-VIII,Gov9e9rn.1ment","Enrolment:Cla2s5s.e0s VI-VIII,Government","Enrolment: Classes I-V,6 P6.r7ivate","Enrolment:Classe36s. 1VI-VIII,Government","Enrolment: Classes I-V, Private97.5","Enrolment:Classes VI-VIII,Gov9e5r.2nment","Enrolment:Classes VI-VIII,Gove99rn.9ment","Enrolment:Classes VI-VIII,Gov9e7r.n6ment","Enrolment: Clas3s2e.s5 I-V, Private","Enrolment: Classe4s1 .I3-V, Private","Enrolment:Classes VI-VIII,G82o.v6ernment","Enrolment:Classes VI-VIII,Gov94e.r5nment"
"Enrolment: Classes I-V, Priva9t1e.4","Enrolment: Class3e3.s5 I-V, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes 5I-1V.1, Private","Enrolment: Cl2a1s.s2es I-V, Private","Enrolment: Clas3s1e.s4 I-V, Private","Enrolment: Classes I-V, Priva9t1e.4","Enrolment: Classes I-V, Privat9e4.2","Enrolment: Classes VI-VIII, Private","Enrolment: Classes I-V, Priv8a3.t9e","Enrolment: C13la.4sses I-V, Private","Enrolment: Clas3s1e.s7 I-V, Private","Enrolment: Classes I-V, Pr7iv8.a3te","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes I-V, Privat1e00.0","Enrolment: Cl2a1s.s8es I-V, Private","Enrolment: Classe3s9 .I9-V, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classe4s0 I.9-V, Private","Enrolment: Class3e3s.7 I-V, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes I-V, Private97.4","Enrolment:7 .C3lasses I-V, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Clas3s2e.s3 I-V, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes I-V,6 P6.r7ivate","Enrolment: Classes I-V, Privat1e00.0","Enrolment: Classes I-V, Priva9t1e.5","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes I-V, Pri8v2a.t7e","Enrolment: Classes I-V, Priva88te.9"
"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolment: Primary Level,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolme3n1t.0: Primary Level,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolm2e6n.5t: Primary Level,% Girls Enrolment: Primary L8e9v.1el,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolment: P5r3im.2ary Level,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolment: Primary8 L4e.4vel,% Girls Enrolment: Primary Le9v6e.1l,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolment: Primary Le1v0e0l.0,"Enrolment: Classes VI-VIII, Private",% Girls Enrolment: Primary L9e1v.6el,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private",% Girls Enrolment: Prima7r1y.6 Level,% Girls Enrolment: Primary Le9v4e.6l,"Enrolment: Classes VI-VIII, Private","Enrolment: Classes VI-VIII, Private"
% Girls Enrolment: Primary Le9v5e.8l,% Girls Enrolment: 4P9r.im5 ary Level,% Girls Enrolment: U.Primary Level,% Girls Enrolment: Prim62a.4ry Level,% Girls Enrolment:4 P6r.3imary Level,% Girls Enrolment: P50ri.m2 ary Level,% Girls Enrolment: Primary Le9v5e.8l,% Girls Enrolment: Primary Le9v6e.8l,% Girls Enro1lm5.2ent: U.Primary Level,% Girls Enrolment: Primary Le9v7e.l6,% Girls Enrolment:4 P6r.7imary Level,% Girls Enrolmen3t:9 .P2rimary Level,% Girls Enrolment: Primary Le9v4e.8l,% Girls Enrolme3n1t.:1 U.Primary Level,% Girls Enrolment: U.5P6r.i2mary Level,% Girls Enrolment: Primary L9e0v.5el,% Girls Enrolment: Prim7a0ry.2 Level,% Girls Enrolment: Primary8 L4e.3vel,% Girls Enrol1m9e.1nt: U.Primary Level,% Girls Enrolment: Primary8 1L.e0vel,% Girls Enrolment: Primary8 L4e.0vel,% Girls Enrolment:4 2U..9Primary Level,% Girls Enrolment: U.Primary 1L0e0v.0el,% Girls Enrolment: Primary Le1v0e0l.0,% Girls Enrolm2e6n.3t: Primary Level,% Girls Enrolment: U.Primary 1L0e0v.0el,% Girls Enrolment:4 3P.r9imary Level,% Girls Enrolment: U.Primary 9L8e.1vel,% Girls Enrolment: Primary Le9v6e.7l,% Girls Enrolment: Primary Le9v8e.l8,% Girls Enrolment: Primary Le9v7e.l7,% Girls Enrolment3:9 U.9.Primary Level,% Girls Enrolment: 4U7..P1rimary Level,% Girls Enrolment: Primary 8L6e.0vel,% Girls Enrolment: Primary Le9v6e.1l
% Girls Enrolment: U.Primary9 0L.e5vel,% Girls Enrolmen34t:. 4U.Primary Level,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U5.P5.r1imary Level,% Girls Enrolmen3t6: .U2 .Primary Level,% Girls Enrolme2n9.t1: U.Primary Level,% Girls Enrolment: U.Primary9 0L.e5vel,% Girls Enrolment: U.Primary9 L3e.9vel,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U.Primary9 0L.e8vel,% Girls Enro1l2m.9ent: U.Primary Level,% Girls Enrolm21e.1nt: U.Primary Level,% Girls Enrolment: U.Prim7a9ry.0 Level,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U.P60ri.m0 ary Level,% Girls Enrol1m8e.7nt: U.Primary Level,% Girls Enrolment4: 1U.8.Primary Level,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment:4 U4..6Primary Level,% Girls Enrolme3n4t:. 0U.Primary Level,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U.Primary 1L0e0v.0el,% Girls En7ro.5lment: U.Primary Level,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolmen3t6: .U6 .Primary Level,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U.Prima8ry4 .L1evel,% Girls Enrolment: U.Primary L9e9.v6el,% Girls Enrolment: U.Primary9 L1.e9vel,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,% Girls Enrolment: U.Prim7a9ry.1 Level,% Girls Enrolment: U.Primar8y7 L.6evel
Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: Primary,Ratio of Girls Enr.to Boys: Primary
Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,Ratio of Girls Enr.to Boys: U.Primary,Ratio of Girls Enr.to Boys: U.Primary
% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment: Classes  I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment:3 4C.l0asses  I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment3: 1C.7lasses  I-VIII,% ST Enrolment: Classes  I-8V4I.I0I,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment: Cla5s2s.e5s  I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment: Classes  I8-V3.I5II,% ST Enrolment: Classes  I-VI9I4I .4,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment: Classes  I-V9II1I.7,% SC Enrolment: Classes I-VIII,% ST Enrolment: Classes  I-V9I3I.I8,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII,% ST Enrolment: Classe6s9  .I0-VIII,% ST Enrolment: Classes  I-VI9II5.6,% SC Enrolment: Classes I-VIII,% SC Enrolment: Classes I-VIII
