indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Schools with Girls' Toilet,70.7,87.3,87.5,87.4,86.0,9230.16,15 97.6x,96.8x,96.4x,99.6
% Schools with Boundarywall,91.3,92.8,93.4,95.1,95.6,95.9,95.8,96.4,98.2,98.5
% School with Playground Facility,-,-,-,84.6,76.1,7260.16,1676.8,81.3,83.4,84.3
% Schools with Ramp,48.9,54.2,57.4,66.0,56.9,60.8,86.4**,87.4**,90.1**,90.2**
% Schools havining Electricity,-,-,96.0,94.3,94.7,95.9,97.0,97.8,98.8,99.0
% Schools with Computer,10.7,25.3,27.5,26.8,32.9,36.9,41.6,44.2,46.1,46.9
% Schools Providing Mid-day Meal*,-,-,-,92.3,72.4,97.1,98.3,98.8,98.7,98.8
Number of Distric4t.s5 Covered,19,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total Schools,,,,,,,,,,
11.0,13559,17743.0,18947.0,18579.0,20869.0,21300.0,22004.0,21938.0,21791.0,22268.0
Total Government Schools,-,14729.0,15460.0,15153.0,14955.0,15021.0,14988.0,14974.0,14587.0,14598.0
Total Private Schools,-,3008.0,3480.0,3424.0,5235.0,5675.0,6461.0,6450.0,6638.0,6834.0
Ratio of Primary to U.PrimaryS1c1h.6./Sec.,2.1,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3
Primary Sch./Sec.per 1000 Child Popln.,4,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0
U.Prim. Sch./Sec.per 1000 Child Popln.,3,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0
% Single-Teacher Schools with Enr.≥15,6.2,3.2,2.8,3.9,4.5,1.7,3.1,3.3,3.3,3.6
% Enrolment in Single-Teacher Schools,3.0,1.3,1.1,1.3,1.8,0.6,0.8,1.3,1.2,1.2
% Schools with Enro6lm.7ent ≤ 50,14.9,13.4,13.4,13.5,16.1,14.7,14.6,15.2,15.8,19.8
% Schools with F4e.m8 ale Teachers,71.0,77.9,79.3,79.2,81.7,81.2,82.5,100.0,81.9,81.3
