indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Ratio of Girls Enr.to Boys: U.Primary,0.90,0.90,0.90,0.89,0.88,0.88,0.88,0.89,0.90,0.90
% SC Enrolment: Classes I-VIII,28.6,28.0,28.0,28.2,28.1,28.1,29.5,27.9,27.6,27.5
% ST Enrolment: Classes  I-VI9II6.5,5.5,5.6,5.7,5.7,5.7,5.8,5.8,5.5,5.6,5.5
% OBC Enrolment: Primary Level,14.2,14.0,13.5,12.9,12.8,13.1,12.8,12.8,12.9,13.0
% OBC Enrolment:U.Primary Level,14.7,14.8,14.9,14.6,14.6,14.4,14.1,14.0,13.9,13.7
% Muslim Enrolment: Primary 9L4e.5vel,-,1.1,1.2,1.6,1.7,1.8,1.7,2.3,2.0,2.0
% Muslim Enrolment: U. Prim87a.2ry Level,-,1.1,0.9,1.1,1.5,1.5,1.6,1.8,1.7,1.9
Ratio of Grade V to I,-,-,-,-,100,-,-,-,-,-
Avg. Repetition Rate: Primary Level,4.3,4.1,4.2,2.3,3.0,0.9,0.3,1.0,0.3,0.2
Avg.Repetition Rate: U.Primary Level,-,11.1,9.8,6.4,6.0,0.8,0.3,0.8,0.6,0.3
Avg. Drop-out Rate: Primary L9e5v.e7l,2.9,2.6,2.0,2.8,-,0.7,112.1 -,0.5,0.5,0.6
Retention Rate: Primary Level,-,94.6,94.5,97.9,93.7,95.7,95.0,99.4,98.2,98.9
Transition Rate: Primary to U.Primary,-,92.6,93.7,95.6,96.1,98.0,98.6,97.9,98.0,98.1
Student-Classroom Ratio,18,16,15,15.0,14,14,15,14,13,13
% Schools with Drinking Water,88.7,93.1,94.1,97.6,97.6,9280.18,1499.1,99.1,99.1,99.9
% Schools with Common Toilet,40.0,48.0,50.9,38.1,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,42.9,57.1,80.6,72.7x,97.6x,97.8x,99.7
% Schools with Girls' Toilet,29.7,38.7,42.9,56.4,66.5,9260.10,15 97.6x,94.7x,95.6x,99.8
% Schools with Boundarywall,24.7,28.7,31.8,50.0,45.4,51.9,57.1,63.2,71.8,70.1
% School with Playground Facility,-,-,-,67.3,66.3,6260.16,1683.9,85.7,84.4,85.8
% Schools with Ramp,5.7,27.7,33.4,46.4,45.7,51.7,91.1**,92.1**,84.8**,88.9**
% Schools havining Electricity,-,-,58.3,59.8,60.8,72.0,85.0,87.1,94.2,96.2
% Schools with Computer,7.6,11.1,12.9,14.7,16.6,18.7,21.7,22.5,23.8,26.0
% Schools Providing Mid-day Meal*,-,-,-,99.0,83.5,99.4,99.1,99.4,99.6,99.6
Number of Distr3ic.2ts Covered,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total Schools10.2,16013,17197.0,17360.0,17408.0,17439.0,17388.0,17547.0,17720.0,17956.0,18024.0
Total Government Schools,-,14968.0,15071.0,15091.0,15126.0,15001.0,15111.0,15219.0,15355.0,15386.0
Total Private Schools,-,2224.0,2289.0,2317.0,2313.0,2384.0,2434.0,2497.0,2599.0,2637.0
Ratio of Primary to U.PrimarySch1.0/S.5ec.,2.6,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,20,22.0,16.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0
U.Prim. Sch./Sec.per 1000 Child Popln.,13,15.0,23.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0
% Single-Teacher Schools with Enr.≥15,7.9,5.5,7.4,4.3,3.6,3.1,4.2,4.4,3.3,4.6
% Enrolment in Single-Teacher Schools,4.7,3.0,4.3,2.5,2.1,2.0,2.5,2.8,2.2,3.0
% Schools with E3n.8rolment ≤ 50,51.9,55.8,57.5,59.7,61.1,63.4,63.8,68.0,69.9,71.2
% Schools with 3F.1emale Teachers,71.3,72.4,73.1,71.9,71.3,71.4,74.3,100.0,72.1,73.4
