indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Muslim Enrolment: Primar8y8 L.5evel,-,0.5,1.0,1.6,1.4,1.6,1.7,2.1,2.3,2.5
% Muslim Enrolment: U. P7r8im.1ary Level,-,0.2,0.9,1.3,1.2,1.2,1.3,1.6,1.7,1.9
Ratio of Grade V to I,94,99,93,92.0,80,88,93,-,-,98.0
Avg. Repetition Rate: Primary Level,8.2,8.0,7.7,8.7,4.3,0.6,0.1,0.5,0.1,0.1
Avg.Repetition Rate: U.Primary Level,-,4.2,15.0,7.5,6.7,0.4,0.1,0.4,0.1,0.1
Avg. Drop-out Rate: Primary L9e2v.6el,8.9,5.5,2.9,4.7,1.8,716.8.,1.6,2.0,1.3,3.1
Retention Rate: Primary Level,-,-,80.4,97.0,-,-,-,-,90.2,90.8
Transition Rate: Primary to U.Primary,-,84.0,-,93.8,-,98.4,99.3,97.6,97.1,95.3
Student-Classroom Ratio,27,26,24,23.0,21,21,22,22,22,22
% Schools with Drinking Water,93.0,97.7,97.3,98.8,99.8,9290.19,1499.7,99.8,100.0,100.0
% Schools with Common Toilet,77.8,88.4,89.2,86.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,33.5,66.6,97.6,79.2x,99.5x,99.7x,99.6
% Schools with Girls' Toilet,70.0,86.1,83.3,98.6,89.7,8270.18,15 95.5x,95.8x,97.2x,99.8
% Schools with Boundarywall,89.9,91.2,90.5,90.7,95.1,97.0,95.0,96.8,98.6,98.6
% School with Playground Facility,-,-,-,70.6,73.1,7260.19,1681.5,95.6,95.4,96.8
% Schools with Ramp,12.7,40.9,37.7,53.3,53.8,63.3,73.5**,84.1**,85.5**,87.3**
% Schools havining Electricity,-,-,85.9,89.0,99.4,98.0,99.8,99.9,99.9,99.9
% Schools with Computer,14.0,30.6,32.5,38.6,47.1,48.0,50.3,52.0,52.4,52.6
% Schools Providing Mid-day Meal*,-,-,-,93.5,79.7,87.5,96.4,91.4,94.3,95.0
Number of Distri4c.t2s Covered,17,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0
Total Schools,,,,,,,,,,
13.4,20298,,21875.0,23272.0,30858.0,30181.0,29833.0,29198.0,29023.0,28776.0
Total Government Schools,-,18508.0,19326.0,19967.0,20235.0,20368.0,20214.0,21343.0,20741.0,20488.0
Total Private Schools,-,1518.0,2549.0,3303.0,3204.0,3594.0,4370.0,7603.0,7769.0,7163.0
Ratio of Primary to U.PrimarySch./S14e.c0.,2.3,2.2,2.0,1.9,1.6,1.6,1.6,1.6,1.6,1.6
Primary Sch./Sec.per 1000 Child Popln.,7,6.0,5.0,7.0,11.0,10.0,10.0,9.0,9.0,9.0
U.Prim. Sch./Sec.per 1000 Child Popln.,4,4.0,7.0,6.0,11.0,10.0,10.0,10.0,10.0,10.0
% Single-Teacher Schools with Enr.≥15,15.0,7.6,5.1,2.1,3.6,5.5,3.3,3.5,3.8,4.6
% Enrolment in Single-Teacher Schools,8.1,4.5,2.4,1.0,1.7,2.5,1.1,1.3,1.3,1.5
% Schools with Enr6o.l2ment ≤ 50,25.3,21.7,24.1,27.9,27.7,27.2,26.2,27.3,27.9,29.9
% Schools with F4e.5male Teachers,89.7,90.0,91.9,90.5,92.8,93.4,94.7,100.0,94.2,94.3
