indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
% Girls Enrolment: U.Primary9 0L.e5vel,48.1,48.3,48.2,48.2,48.3,48.2,48.1,48.1,48.3,48.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.94,0.94,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
% SC Enrolment: Classes I-VIII,20.7,19.2,19.2,19.3,19.0,19.3,20.2,18.8,19.0,19.2
% ST Enrolment: Classes  I-VII9I8.5,7.9,7.5,7.9,7.9,0.2,8.1,8.1,7.9,7.8,7.8
% OBC Enrolment: Primary Level,46.3,52.5,51.9,53.1,0.9,55.0,56.7,57.2,58.6,62.8
% OBC Enrolment:U.Primary Level,47.3,53.2,53.0,53.9,0.9,54.5,57.5,57.2,58.2,62.4
% Muslim Enrolment: Primary9 L8e.0vel,-,15.1,14.7,-,15.3,16.0,15.9,14.4,14.4,15.1
% Muslim Enrolment: U. Prima9r6y. 6Level,-,16.7,13.8,37.1,14.1,14.4,14.5,13.6,13.8,14.6
Ratio of Grade V to I,99,94.0,93.0,98,97.0,97.0,92,90.0,90.0,90.0
Avg. Repetition Rate: Primary Level,3.9,2.0,1.9,1.4,1.7,1.2,1.0,0.8,0.8,0.6
Avg.Repetition Rate: U.Primary Level,-,2.0,1.7,1.2,1.4,1.2,0.8,0.9,0.8,0.5
Avg. Drop-out Rate: Primary L9e6v.e2l,2.1,3.4,4.5,4.1,3.6,2.0,107.92.6,3.0,2.3,2.0
Retention Rate: Primary Level,-,75.7,86.8,75.9,74.8,91.9,91.6,91.8,91.0,90.9
Transition Rate: Primary to U.Primary,-,91.9,91.8,96.0,96.5,98.8,91.6,94.3,96.2,96.4
Student-Classroom Ratio,31,29,27,25,24,22,22,22,22,23
% Schools with Drinking Water,79.7,79.6,82.7,69.8,94.7,9290.14,1499.6,99.7,99.9,100.0
% Schools with Common Toilet,62.8,70.4,83.3,88.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.5,62.9,97.7,96.1x,100.0x,99.9x,99.4
% Schools with Girls' Toilet,42.6,47.2,56.0,68.2,75.4,9270.10,15 99.6x,99.9x,99.8x,99.8
% Schools with Boundarywall,56.4,55.6,70.8,62.9,69.1,71.3,71.2,73.5,78.1,78.8
% School with Playground Facility,-,-,-,58.8,61.6,6250.17,1662.8,63.1,63.7,64.1
% Schools with Ramp,14.2,22.4,44.9,55.1,60.9,58.8,93.2**,90.8**,82.5**,83.7**
% Schools havining Electricity,-,-,85.3,88.0,91.8,94.0,96.5,96.2,98.0,98.0
% Schools with Computer,9.2,11.8,18.4,21.2,24.4,33.2,28.4,29.9,33.4,34.2
% Schools Providing Mid-day Meal*,-,-,-,45.87*,98.9,97.2,97.6,98.8,98.9,98.8
Number of Districts C4o.4vered,27,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0
Total Schools,,,,,,,,,,
9.2,54085,56441.0,57517.0,58159.0,59484.0,70896.0,60984.0,61369.0,61628.0,61739.0
Total Government Schools,-,45622.0,46199.0,46325.0,46550.0,50885.0,46218.0,46030.0,45654.0,45556.0
Total Private Schools,-,10819.0,11318.0,11834.0,12903.0,19966.0,14742.0,15310.0,15929.0,16157.0
Ratio of Primary to U.PrimarySc8h.0./Sec.,2.0,2.0,1.8,1.8,1.8,1.3,1.8,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,10,11.0,10.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8.0,11.0,10.0,10.0,14.0,11.0,11.0,11.0,11.0
% Single-Teacher Schools with Enr.≥15,5.1,7.8,4.5,3.9,3.2,3.4,3.9,3.9,4.6,5.0
% Enrolment in Single-Teacher Schools,2.2,3.9,1.9,1.5,1.2,1.3,1.4,1.3,1.8,1.9
% Schools with Enrolme5n.6t ≤ 50,42.4,34.8,36.6,37.8,38.6,40.9,39.6,40.6,41.3,41.5
% Schools with Fema4le.6 Teachers,78.6,80.2,81.4,81.3,82.0,83.5,83.6,83.6,82.6,83.1
